id,event_date,event_summary,source_quote,core_sentence,category,event_type,intensity,actor_raw_names,actor_normalized_names,actor_countries,recipient_raw_names,recipient_normalized_names,recipient_countries,third_party_raw_names,third_party_normalized_names,third_party_countries,location_raw_names,location_normalized_names,location_countries,article_count,article_links
"b7c362c4303f","2026-08-02","The United States, under President Donald Trump, prepared to launch a significant military operation against Iran, described as the largest since World War II. However, the operation was postponed following diplomatic interventions from Gulf nations, including Saudi Arabia, Qatar, and the United Arab Emirates, who requested additional time for negotiations.","United States was fully prepared to launch what President Donald Trump described as largest military attack since World War II against Iran before diplomatic intervention from Gulf nations led Washington to postpone the operation.","United States ACCUSE Iran","CONFLICT","ACCUSE","-0.3","United States","United States","USA (185)","Iran","Iran","Iran (80)","Donald Trump; Saudi Arabia; Qatar; United Arab Emirates","Donald Trump; Saudi Arabia; Qatar; United Arab Emirates","USA (185); Saudi Arabia (151); Qatar (139); UAE (182)","Immaterial","","Immaterial","1",""
"3e5ca7737ed0","2026-08-01","US President Donald Trump announced plans to launch fresh strikes against Iranian targets but later deferred the offensive after diplomatic intermediaries made progress on a framework to unblock the Strait of Hormuz. This decision was influenced by appeals from several Gulf capitals for continued engagement with Tehran.","US President Donald Trump had initially announced plans on Friday to launch fresh strikes against Iranian targets. However, he subsequently chose to defer the offensive after diplomatic intermediaries recorded progress on a framework to unblock the Strait of Hormuz, coupled with appeals from several Gulf capitals urging continued engagement with Tehran.","Donald Trump ACCUSE Iranian targets","CONFLICT","ACCUSE","-0.2","Donald Trump","Donald Trump","USA (185)","Iranian targets","Iranian military targets","Iran (80)","Gulf capitals","Gulf capitals","Unknown","Immaterial; Gulf capitals; Tehran; Strait of Hormuz","","Iran (80)","3",""
"79103af44bb4","2026-08-01","US President Donald Trump announced plans to launch fresh strikes against Iranian targets, amid growing frustration among Gulf nations regarding the lack of a coherent US strategy against Iran. The announcement comes as regional allies express concerns over their vulnerability to Iranian strikes and seek additional air-defense support from Washington.","US President Donald Trump had initially announced plans on Friday to launch fresh strikes against Iranian targets.","Donald Trump THREATEN Iranian targets","CONFLICT","THREATEN","-0.6","Donald Trump","Donald Trump","USA (185)","Iranian targets","Iranian military targets","Iran (80)","Gulf nations; Washington","Gulf nations; Washington","USA (185)","Immaterial","","Immaterial","1",""
"ccd515cebe2a","2026-08-01","The United States and Israel are preparing for large-scale airstrikes targeting Iran's energy infrastructure, including oil and gas facilities, amid rising tensions in the Middle East. The operation aims to strike at Iran's military and economic foundations, with potential retaliation threats from Iran against US-related facilities in the region.","CBS reported on the 31st, citing multiple sources, that the United States and Israel were discussing plans for airstrikes on Iran's energy infrastructure this weekend (August 1-2).","United States and Israel MOBILIZE Iran","CONFLICT","MOBILIZE","-0.6","United States; Israel","United States; Israel","USA (185); Israel (83)","Iran","Iran","Iran (80)","","","","Iran","","Iran (80)","1",""
"0182097fae23","2026-08-01","The United States and Israel are considering implementing a land blockade aimed at increasing economic pressure on Iran. This proposed measure would focus on limiting the movement of goods and reducing commercial activity through key overland routes used for Iran’s imports and exports, contingent upon cooperation from neighboring countries.","The United States and Israel are considering a possible land blockade to increase economic pressure on Iran, The Telegraph reported, citing officials.","United States and Israel THREATEN Iran","CONFLICT","THREATEN","-0.6","United States; Israel","United States; Israel","USA (185); Israel (83)","Iran","Iran","Iran (80)","Neighboring countries","Neighboring countries","Unknown","Immaterial","","Immaterial","1",""
"18b030fcaa96","2026-07-30","The United States launched a series of airstrikes against Iran in response to renewed attacks aimed at Jordan, marking a significant escalation in the conflict. Saudi Arabia joined the US operations against militant groups in Iraq, while Egypt experienced its first drone strike at a Mediterranean port, prompting a warning from its president about the region's instability. Jordan intercepted Iranian missiles for the second consecutive day, and Kuwait reported a fatality from an Iranian strike on a Chinese-owned building.","the United States unleashed what it called a “heavy wave of strikes” on Iran, retaliating for renewed attacks aimed at Jordan.","United States, Saudi Arabia, and Egypt ASSAULT Iran and militant groups in Iraq","CONFLICT","ASSAULT","-0.9","United States; Saudi Arabia; Egypt","United States; Saudi Arabia; Egypt","USA (185); Saudi Arabia (151); Egypt (53)","Iran; Militant groups in Iraq","Iran; Militant groups in Iraq","Iran (80)","Jordan; China","Jordan; China","Jordan (87); China (36)","Iran; Jordan; Iraq; Egypt; Kuwait; Mediterranean port","","Iran (80); Jordan (87); Iraq (81); Egypt (53); Kuwait (91)","1",""
"b68b7fffce64","2026-07-30","The U.S. military conducted a series of airstrikes against Iran in response to an earlier missile attack on a U.S. base in Jordan. This operation, which involved partnership with Saudi Arabia, targeted Iran-backed militias in Iraq, resulting in the deaths of at least 20 fighters and six Iranian advisers. The strikes focused on multiple facilities belonging to Iran’s Revolutionary Guard Corps, including military command centers and missile sites.","The U.S. military said early Thursday it had completed 'a heavy wave of strikes against Iran' conducted in response to an earlier Iranian missile attack on a U.S. base in Jordan.","U.S. military and Saudi Arabia ASSAULT Iran-backed militias and Iran","CONFLICT","ASSAULT","-0.9","U.S. military; Saudi Arabia","United States military; Saudi Arabia","USA (185); Saudi Arabia (151)","Iran-backed militias; Iran","Iranian-backed militias; Iran","Iran (80); Iran (80)","U.S. base in Jordan","US bases in Jordan","USA (185)","Iraq; Iraq Strip; Iraq Governorate","","Palestine (195); Palestine (195); Palestine (195)","1",""
"7fbdc98e0251","2026-07-30","The United States conducted missile strikes on a residential area in Qeshm Island, Iran, resulting in the deaths of three civilians and injuries to two children. This action is part of ongoing military operations amid escalating tensions in the region.","Iranian media reported on Thursday that three civilians were killed and two children wounded in the attack.","United States ASSAULT Iranian civilians","CONFLICT","ASSAULT","-0.9","United States","United States","USA (185)","Iranian civilians","Iranian civilians","Iran (80)","","","","Qarcham Island","","Iran (80)","1",""
"9e4234863e41","2026-07-30","The United States launched an intense wave of airstrikes against Iranian Revolutionary Guard targets on Qeshm Island in the Strait of Hormuz. This military action was in response to intercepted missile launches aimed at American troops in the Middle East, with the objective of reducing threats to U.S. forces and commercial shipping.","The United States has launched an 'intense wave of attacks' against Iran in the last few hours.","United States ASSAULT Iranian Revolutionary Guard Corps (IRGC) forces","CONFLICT","ASSAULT","-0.9","United States","United States","USA (185)","Iranian Revolutionary Guard Corps (IRGC) forces","Islamic Revolutionary Guard Corps (IRGC)","Iran (80)","American troops; Commercial shipping","American troops; Commercial shipping","USA (185)","Qesham Island, Strait of Hormuz","","Iran (80)","1",""
"b5e580e114d7","2026-07-29","The United States accused Iran's Islamic Revolutionary Guard Corps (IRGC) of launching a surprise ballistic missile attack targeting American military forces in Jordan. This incident has raised concerns about a potential wider regional conflict, prompting President Donald Trump to warn of a decisive response against further aggression.","The United States has accused Iran’s Islamic Revolutionary Guard Corps (IRGC) of launching a surprise ballistic missile attack targeting American military forces in Jordan, triggering renewed fears of a wider regional conflict and prompting President Donald Trump to warn of a 'decisive response' against any further aggression.","United States ACCUSE Islamic Revolutionary Guard Corps (IRGC)","CONFLICT","ACCUSE","-0.3","United States","United States","USA (185)","Islamic Revolutionary Guard Corps (IRGC)","Islamic Revolutionary Guard Corps (IRGC)","Iran (80)","American military forces; President Donald Trump","United States military; Donald Trump","USA (185); USA (185)","Jordan","","Jordan (87)","1",""
"f5d25040d553","2026-07-29","The United States imposed a new round of sanctions targeting Iran, designating 10 entities and eight tankers in response to Iran's efforts to monetize the Strait of Hormuz. Six of the sanctioned entities were based in China, and the sanctions were part of a broader strategy following President Donald Trump's vow to take strong action against Iran after the U.S. military intercepted ballistic missiles launched by Iran.","The United States on Wednesday issued another round of Iran-related sanctions, taking aim at Iran's efforts to 'monetize the Strait of Hormuz' with designations of 10 entities and eight more tankers, the U.S. Treasury Department said.","United States SANCTIONED Iran and designates entities and tankers","CONFLICT","SANCTION","-0.6","United States","United States","USA (185)","Iran; Designated entities and tankers","Iran; Designated entities and tankers","Iran (80)","","","","China","","China (36)","3",""
"d531a12ae49b","2026-07-29","The United States military successfully intercepted multiple ballistic missiles launched by Iran’s Islamic Revolutionary Guard Corps (IRGC) in an attempted surprise attack against U.S. forces stationed in the Middle East. The missile attack occurred at approximately 5:45 p.m. Eastern Time, with all missiles intercepted before reaching their intended targets.","According to U.S. Central Command (CENTCOM), the missile attack occurred at approximately 5:45 p.m. Eastern Time when IRGC forces fired several ballistic missiles from Iranian territory toward U.S. military positions in the Middle East.","United States military COERCE Islamic Revolutionary Guard Corps (IRGC)","CONFLICT","COERCE","-0.6","United States military","United States military","USA (185)","Islamic Revolutionary Guard Corps (IRGC)","Islamic Revolutionary Guard Corps (IRGC)","Iran (80)","U.S. forces stationed in the Middle East","U.S. forces stationed in the Middle East","USA (185)","Middle East","","Unknown","2",""
"4e7f2b11e9d8","2026-07-29","On July 29, 2026, the United States Central Command (CENTCOM) conducted an extensive aerial assault on Iranian targets in response to a ballistic missile attack by Iran's Islamic Revolutionary Guard Corps (IRGC) that occurred on July 28. The strikes, which were characterized as a 'heavy wave', targeted military command centers, missile and drone installations, and other strategic sites to reduce threats to U.S. forces and regional stability.","On Wednesday night, the United States Central Command (CENTCOM) launched an extensive aerial assault on Iranian targets, directly countering the ballistic missile attack by Iran's Islamic Revolutionary Guard Corps (IRGC) that occurred on Tuesday against U.S. military positions in the Middle East.","United States Central Command (CENTCOM) ASSAULT Islamic Revolutionary Guard Corps (IRGC)","CONFLICT","ASSAULT","-0.9","United States Central Command (CENTCOM)","United States Central Command (CENTCOM)","USA (185)","Islamic Revolutionary Guard Corps (IRGC)","Islamic Revolutionary Guard Corps (IRGC)","Iran (80)","","","","Iran","","Iran (80)","115",""
"a16f4e19755e","2026-07-29","The United States Central Command (CENTCOM) dismissed claims made by Iran's Islamic Revolutionary Guard Corps (IRGC) regarding a missile strike on Jordan's al-Azraq airbase, asserting that no US F-35 fighter jets were destroyed or damaged. CENTCOM confirmed that all missiles and drones were intercepted or failed to reach their targets, and emphasized the ongoing enforcement of the US blockade on Iranian ports.","US Central Command (CENTCOM) said on X, 'No US aircraft were destroyed or damaged in recent attempted Iranian attacks.' It added, 'All missiles and drones were intercepted or failed to reach targeted areas.'","United States Central Command (CENTCOM) ACCUSE Islamic Revolutionary Guard Corps (IRGC)","CONFLICT","ACCUSE","-0.3","United States Central Command (CENTCOM)","United States Central Command (CENTCOM)","USA (185)","Islamic Revolutionary Guard Corps (IRGC)","Islamic Revolutionary Guard Corps (IRGC)","Iran (80)","United States; Jordan","United States; Jordan","USA (185); Jordan (87)","Jordan's al-Azraq airbase; Iranian territories","","Jordan (87); Iran (80)","2",""
"836f2f6ece18","2026-07-29","Saudi Arabia's armed forces, in coordination with the United States Central Command (CENTCOM), conducted precision strikes against Iran-backed militia targets in Iraq. This military operation was a response to recent drone attacks on Saudi oil facilities, which were intercepted and destroyed, and was justified under Saudi Arabia's right to self-defense as per Article 51 of the United Nations Charter.","Saudi Arabia’s armed forces, in coordination with the United States Central Command (CENTCOM), carried out precision strikes on Wednesday against Iran-backed militia targets in Iraq linked to recent drone attacks on the Kingdom’s oil facilities, the Ministry of Defense announced.","Saudi Arabia's armed forces and United States Central Command (CENTCOM) ASSAULT Iran-backed militia targets in Iraq","CONFLICT","ASSAULT","-0.9","Saudi Arabia's armed forces; United States Central Command (CENTCOM)","Saudi forces; United States Central Command (CENTCOM)","Saudi Arabia (151); USA (185)","Iran-backed militia targets in Iraq","Iran-backed militia targets in Iraq","Iran (80)","","","","Iraq","","Iraq (81)","3",""
"ac579c059b3f","2026-07-29","The United States Central Command (Centcom) conducted a series of airstrikes against Iran, targeting military command centers and facilities of the Islamic Revolutionary Guard. This operation was described as a 'powerful response' to a surprise attack by Tehran on American bases in Jordan earlier in the week, with strikes reported in several locations including Qeshm island and the Khuzestan province.","American forces 'successfully completed a heavy wave of strikes against Iran', and struck dozens of Islamic Revolutionary Guard targets including military command centres, Centcom said.","United States Central Command (Centcom) ASSAULT Islamic Revolutionary Guard and Iranian military command centers and facilities","CONFLICT","ASSAULT","-0.9","United States Central Command (Centcom)","United States Central Command (CENTCOM)","USA (185)","Islamic Revolutionary Guard; Iranian military command centers and facilities","Islamic Revolutionary Guard Corps; Iran's Military Command","Iran (80); Iran (80)","","","","Iran; Qeshm island; Khuzestan province; Tehran; American bases in Jordan","","Iran (80); Iran (80); Iran (80); Iran (80); Jordan (87)","1",""
"5403e6e594f3","2026-07-29","The United States conducted military strikes against Iran and Iran-backed groups in response to Iranian missile attacks on US bases in Jordan and threats to shipping in the Strait of Hormuz. The strikes were part of a broader military escalation in the region, with US Central Command (CENTCOM) reporting that US and Saudi forces targeted Iran-aligned positions in Iraq, resulting in casualties among the Popular Mobilization Forces.","The United States launched new strikes against Iran and Iran-backed groups on Wednesday, as Washington and Tehran continued a cycle of military escalation that has heightened fears of a broader regional conflict.","United States and Saudi Arabia ASSAULT Iran and Iran-backed groups","CONFLICT","ASSAULT","-0.9","United States; Saudi Arabia","United States; Saudi Arabia","USA (185); Saudi Arabia (151)","Iran; Iran-backed groups; Popular Mobilization Forces","Iran; Iran-backed groups; Popular Mobilization Forces","Iran (80); Iraq (81)","","","","Iran; Iraq; Jordan; Strait of Hormuz","","Iran (80); Iraq (81); Jordan (87)","1",""
"c1967ad8572d","2026-07-29","On July 29, 2026, Iran conducted a missile attack against US troops in the Middle East, while simultaneously, US and Saudi forces launched an attack on pro-Iranian forces in Iraq. This escalation resulted in the deaths of six Iranian advisers, complicating the ongoing conflict.","The situation in the Middle East flared up once again on July 29, 2026 when Iran conducted another missile attack against US troops while at the same time US and Saudi forces attacked pro-Iranian forces in Iraq.","Iran, US forces, and Saudi forces ASSAULT US troops and pro-Iran Iranian advisers","CONFLICT","ASSAULT","-0.9","Iran; US forces; Saudi forces","Iran; US forces; Saudi forces","Iran (80); USA (185); Saudi Arabia (151)","US troops; pro-Iran Iranian advisers","American troops; Iranian advisers and personnel","USA (185); Iran (80)","","","","Middle East; Iraq","","Iraq (81)","1",""
"82a14f465b1a","2026-07-29","Saudi and American forces conducted airstrikes against Iran-backed militants in Iraq on July 28 and 29, 2026. This military action follows an Iranian counterattack against a US base in Jordan earlier in the week, marking a significant escalation in the ongoing conflict.","strikes on Wednesday through Thursday morning (July 28 and 29) by Saudi and American forces hit Iran-backed militants in Iraq. It also follows the response by US forces to an Iranian counterattack against an American base in Jordan earlier in the week.","Saudi and American forces ASSAULT Iranian-backed militants in Iraq","CONFLICT","ASSAULT","-0.9","Saudi forces; American forces","Saudi forces; United States military","Saudi Arabia (151); USA (185)","Iranian-backed militants","Iranian-backed militants","Iran (80)","","","","Iraq; Jordan","","Iraq (81); Jordan (87)","1",""
"1043ae2bd7a6","2026-07-29","The United States intercepted a missile attack launched by Iran's Islamic Revolutionary Guard Corps (IRGC) aimed at U.S. forces stationed in the Middle East. This action was followed by President Donald Trump's warning of a forceful U.S. military response, which heightened geopolitical tensions in the region.","U.S. Central Command (CENTCOM) said Iran’s Islamic Revolutionary Guard Corps (IRGC) attempted a surprise missile strike on U.S. forces stationed in the Middle East. According to CENTCOM, all incoming missiles were intercepted.","United States COERCE Islamic Revolutionary Guard Corps (IRGC) and U.S. forces stationed in the Middle East","CONFLICT","COERCE","-0.6","United States","United States","USA (185)","Islamic Revolutionary Guard Corps (IRGC); U.S. forces stationed in the Middle East","Islamic Revolutionary Guard Corps (IRGC); U.S. forces stationed in the Middle East","Iran (80); USA (185)","","","","Middle East","","Unknown","1",""
"798bff356d2c","2026-07-29","Admiral Brad Cooper, the commander of US forces in the Middle East, proposed a plan for a large-scale air campaign targeting Iran's ballistic missile arsenal, which would involve 10 to 14 days of intensive airstrikes across Iran. This plan aims to significantly weaken Iran's missile capabilities amid escalating tensions and military responses following recent missile attacks on American troops in Jordan.","Adm. Brad Cooper, the commander of US forces in the Middle East, has developed a plan for up to two weeks of intensive airstrikes intended to severely weaken Iran’s remaining missile capabilities, as President Donald Trump considers how far to escalate the renewed conflict.","Admiral Brad Cooper REQUEST Iran","CONFLICT","REQUEST","-0.2","Admiral Brad Cooper","Admiral Brad Cooper","USA (185)","Iran","Iran","Iran (80)","US forces in the Middle East; American troops in Jordan","US forces in the Middle East; American forces in Jordan","USA (185); USA (185)","Iran; Jordan","","Iran (80); Jordan (87)","1",""
"0a435ad05820","2026-07-29","The United States Central Command (CENTCOM) conducted military strikes against Iranian targets in response to Iranian attempts to target US forces in the Middle East. The strikes began at 8:00 PM Eastern Time and were described as a strong response aimed at deterring further aggression from Tehran.","CENTCOM announced, in a statement published on its 'X' platform, that US forces began their strikes at 8:00 PM Eastern Time, confirming that the operation was a direct response to Iranian attack attempts that targeted US forces in the region during the preceding hours.","United States Central Command (CENTCOM) ASSAULT Iranian military and paramilitary targets","CONFLICT","ASSAULT","-0.9","United States Central Command (CENTCOM)","United States Central Command (CENTCOM)","USA (185)","Iranian military and paramilitary targets","Iranian military targets","Iran (80)","US forces","US forces","USA (185)","Middle East","","Unknown","1",""
"f7124200f82b","2026-07-28","US and Saudi Arabian forces conducted precision strikes against Iran-aligned terrorists in Iraq. This military action was a response to over 30 drone attacks directed by the Islamic Revolutionary Guard Corps (IRGC) against Saudi Arabia and US forces, occurring from July 26 to July 28.","US Central Command said that American forces and 'the Saudi Arabian Armed Forces conducted precision strikes in Iraq, July 28, against Iran-aligned terrorists that the Islamic Revolutionary Guard Corps (IRGC) directed to attack US forces and Saudi energy infrastructure.'","US and Saudi Arabian forces ASSAULT Iranian-backed terrorists in Iraq","CONFLICT","ASSAULT","-0.9","US forces; Saudi Arabian forces","US forces; Saudi forces","USA (185); Saudi Arabia (151)","Iranian-backed terrorists in Iraq","Iranian militants in Iraq","Iran (80)","Islamic Revolutionary Guard Corps (IRGC)","Islamic Revolutionary Guard Corps (IRGC)","Iran (80)","Iraq","","Iraq (81)","2",""
"b9c903ad5f8f","2026-07-27","US President Donald Trump announced that Washington is engaged in deep talks with Tehran regarding negotiations, while also preparing to restart military operations if these negotiations do not progress. He indicated that the diplomatic window is narrow and emphasized the urgency of the situation.","US President Donald Trump said on Monday that Washington remains engaged in “deep talks” with Tehran, but is also preparing to restart military operations if negotiations stall.","Donald Trump CONSULTED Tehran","COOPERATION","CONSULT","0.2","Donald Trump","Donald Trump","USA (185)","Tehran","Tehran","Iran (80)","","","","Washington; Tehran","","USA (185); Iran (80)","1",""
"4d33d8d48ccb","2026-07-27","The United States and Saudi Arabia conducted precision strikes against pro-Iran fighters in eastern Iraq, targeting what they described as terrorist logistics and weapons sites. This military action resulted in the deaths of at least 20 fighters and numerous injuries, marking the first known Gulf intervention in Iraq during the current conflict.","The US and Saudi Arabia announced 'precision strikes' against pro-Iran fighters in Iraq, saying the targets were 'terrorist logistics and weapons sites' in the country's east. At least 20 fighters were killed and dozens injured.","United States and Saudi Arabia ASSAULT Pro-Iran fighters","CONFLICT","ASSAULT","-0.9","United States; Saudi Arabia","United States; Saudi Arabia","USA (185); Saudi Arabia (151)","Pro-Iran fighters","Pro-Iran fighters","Iran (80)","","","","eastern Iraq","","Iraq (81)","1",""
"0ab5785517bd","2026-07-27","Senior U.S. officials assessed that economic sanctions are applying greater pressure on Iran than military strikes, indicating that Iran's worsening economic crisis is weakening its ability to sustain regional activities and negotiate effectively. This assessment highlights the impact of sanctions on Iran's leadership, which is currently facing fuel shortages and is seeking economic relief and access to frozen assets.","A senior U.S. administration official told Axios that Iran’s leadership is seeking to avoid further military escalation while also pursuing economic relief. 'The Iranians don’t want to be bombed, and they want money,' the official said, adding that Tehran is seeking both sanctions relief and access to frozen assets.","Senior U.S. officials ACCUSE Iran","CONFLICT","ACCUSE","-0.3","Senior U.S. officials","Senior U.S. officials","USA (185)","Iran","Iran","Iran (80)","","","","Immaterial","","Immaterial","1",""
"08577708578b","2026-07-26","Mike Waltz, the U.S. ambassador to the United Nations, stated during an interview on NBC News' 'Meet the Press' that the United States has sufficient military resources for operations against Iran, countering claims of depleted weapons stockpiles. He emphasized that the U.S. military is fully equipped to conduct its campaign effectively.","Mike Waltz, the U.S. ambassador to the United Nations, told NBC News’ 'Meet the Press' Sunday that the U.S. has 'everything that it needs' for military operations against Iran, dismissing reporting that U.S. weapons stockpiles are depleted.","Mike Waltz SUPPORT Iran","COOPERATION","SUPPORT","0.5","Mike Waltz","Mike Waltz","USA (185)","Iran","Iran","Iran (80)","United Nations; NBC News","United Nations; NBC News","USA (185)","Immaterial","","Immaterial","1",""
"63f5a8ffff04","2026-07-26","The United States reimposed a strict naval blockade against Iran in the Strait of Hormuz, following intensified military stand-offs and targeting of commercial vessels by Iranian forces. This blockade has resulted in the redirection of seventeen commercial ships, with two disabled and two boarded by American forces, impacting global energy supply lines.","The US military subsequently reimposed a strict naval blockade against Iran, which has so far seen seventeen commercial ships redirected, two disabled, and two boarded by American forces.","United States SANCTION Iran","CONFLICT","SANCTION","-0.6","United States","United States","USA (185)","Iran","Iran","Iran (80)","Commercial vessels","commercial vessels","Unknown","Strait of Hormuz","","Iran (80)","1",""
